"","mean","sd","2.5%","97.5%","rhat","ess_bulk","modelLabel"
"p[21]2",0.1714836287,0.0349466845313721,0.1092724,0.23942815,0.999984396917462,3027.56319263015,"grubb li distractor loc - Figure 5D"
"p[22]2",0.16996224995,0.0336649640467058,0.1077206,0.2390301,1.00066180213412,2861.16693241396,"grubb li distractor loc - Figure 5D"
"p[23]2",0.15448719485,0.0341406033565402,0.094341445,0.2264704,1.00472136983129,2139.27735334886,"grubb li distractor loc - Figure 5D"
"p[24]2",0.17089734665,0.0351202491150782,0.10626695,0.2458107,1.00140200234266,3464.45047316429,"grubb li distractor loc - Figure 5D"
"p[25]2",0.17931333735,0.0354763483940207,0.115939275,0.251382175,1.00218044343368,2831.08177433909,"grubb li distractor loc - Figure 5D"
"p[26]2",0.17863948285,0.0333983321375944,0.115092825,0.2503165,1.00365239576822,2878.95785628912,"grubb li distractor loc - Figure 5D"
"p[27]2",0.17884849165,0.0345917748107368,0.113807575,0.248355775,1.00208519871819,2644.74265186931,"grubb li distractor loc - Figure 5D"
"p[28]2",0.218492137,0.0371364264569469,0.149006,0.295186525,1.0007863049574,2835.44489129817,"grubb li distractor loc - Figure 5D"
"p[29]2",0.22676771,0.0378914407938074,0.159056125,0.30772385,0.999207803280627,2326.94480821027,"grubb li distractor loc - Figure 5D"
"p[30]2",0.1790422688,0.0338743353176831,0.116999075,0.246920675,1.00971386005605,3060.37830671946,"grubb li distractor loc - Figure 5D"
"p[31]2",0.201402277,0.0355456528767652,0.13703305,0.2764154,1.00025077733128,3107.53439830602,"grubb li distractor loc - Figure 5D"
"p[32]2",0.19592751555,0.0363646733098873,0.12977195,0.272409925,1.00004543259008,2476.58668029818,"grubb li distractor loc - Figure 5D"
"p[33]2",0.17089649635,0.0337193180175677,0.1088016,0.237487425,1.00037297729094,2286.29439260774,"grubb li distractor loc - Figure 5D"
"p[34]2",0.227266018,0.0386801186780644,0.158286525,0.306338075,1.00490987704994,2154.70208292097,"grubb li distractor loc - Figure 5D"
"p[35]2",0.20182660295,0.0364908536505145,0.1372188,0.2797022,1.0024082437548,2495.71617297348,"grubb li distractor loc - Figure 5D"
